"Div","Date","Time","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","timeofday","TotalYellow","TotalRed","HBP","ABP","TBP","Total.Fouls","B365H","B365D","B365A","B365CH","B365CD","B365CA","ExpectedR","POS","ERO"
"E0","21/11/2020","12:30","Newcastle","Chelsea",0,2,"A",0,1,"A","C Pawson",8,14,1,3,11,12,7,4,2,0,0,0,"Afternoon",2,0,20,0,20,23,6.5,4.75,1.45,7,4.75,1.44,"A","Y",1.44
"E0","21/11/2020","15:00","Aston Villa","Brighton",1,2,"A",0,1,"A","M Oliver",15,7,4,3,5,18,12,3,2,1,0,1,"Afternoon",3,1,20,35,55,23,2.15,3.6,3.2,2.3,3.5,3,"H","N",2.3
"E0","21/11/2020","17:30","Tottenham","Man City",2,0,"H",1,0,"H","M Dean",4,22,2,5,13,19,0,10,2,2,0,0,"Evening",4,0,20,20,40,32,4,4,1.8,4.2,4,1.75,"A","N",1.75
"E0","21/11/2020","20:00","Man United","West Brom",1,0,"H",0,0,"D","D Coote",17,7,7,2,12,17,8,2,1,1,0,0,"Evening",2,0,10,10,20,29,1.3,5.5,9.5,1.3,5.75,9,"H","Y",1.3
"E0","22/11/2020","12:00","Fulham","Everton",2,3,"A",1,3,"A","A Madley",14,9,6,7,14,10,2,5,2,0,0,0,"Afternoon",2,0,20,0,20,24,3.9,3.9,1.85,4.2,3.8,1.8,"A","Y",1.8
"E0","22/11/2020","14:00","Sheffield United","West Ham",0,1,"A",0,0,"D","M Atkinson",9,15,5,3,7,6,2,6,0,0,0,0,"Afternoon",0,0,0,0,0,13,3,3.25,2.4,3.1,3.2,2.4,"A","Y",2.4
"E0","22/11/2020","16:30","Leeds","Arsenal",0,0,"D",0,0,"D","A Taylor",25,9,4,2,9,8,5,3,3,0,0,1,"Afternoon",3,1,30,25,55,17,3,3.75,2.2,3.4,3.8,2,"A","N",2
"E0","22/11/2020","19:15","Liverpool","Leicester",3,0,"H",2,0,"H","C Kavanagh",24,11,13,4,15,6,10,3,0,2,0,0,"Evening",2,0,0,20,20,21,1.85,4,3.8,1.75,4,4.33,"H","Y",1.75
"E0","23/11/2020","17:30","Burnley","Crystal Palace",1,0,"H",1,0,"H","K Friend",10,15,4,5,13,9,4,7,2,0,0,0,"Evening",2,0,20,0,20,22,2.75,3.1,2.75,2.6,3.1,2.9,"H","Y",2.6
"E0","23/11/2020","20:00","Wolves","Southampton",1,1,"D",0,0,"D","A Marriner",20,7,9,2,14,13,7,4,2,0,0,0,"Evening",2,0,20,0,20,27,2.3,3.25,3.25,2.3,3.25,3.25,"H","N",2.3
"E0","27/11/2020","20:00","Crystal Palace","Newcastle",0,2,"A",0,0,"D","G Scott",12,14,3,7,9,10,7,3,2,2,0,0,"Evening",4,0,20,20,40,19,2.05,3.25,3.75,2.1,3.2,3.75,"H","N",2.1
"E0","28/11/2020","12:30","Brighton","Liverpool",1,1,"D",0,0,"D","S Attwell",11,6,3,2,9,13,4,3,2,1,0,0,"Afternoon",3,0,20,10,30,22,5.5,4.2,1.57,5,4.2,1.61,"A","N",1.61
"E0","28/11/2020","15:00","Man City","Burnley",5,0,"H",3,0,"H","L Mason",19,9,6,1,12,4,6,4,0,0,0,0,"Afternoon",0,0,0,0,0,16,1.16,7.5,16,1.12,10,17,"H","Y",1.12
"E0","28/11/2020","17:30","Everton","Leeds",0,1,"A",0,0,"D","C Kavanagh",15,23,8,7,8,14,4,2,1,2,0,0,"Evening",3,0,10,20,30,22,1.95,3.8,3.6,2.2,3.75,3,"H","N",2.2
"E0","28/11/2020","20:00","West Brom","Sheffield United",1,0,"H",1,0,"H","M Dean",17,21,6,5,10,9,14,9,2,3,0,0,"Evening",5,0,20,30,50,19,2.6,3.2,2.8,2.6,3.2,2.8,"H","Y",2.6
"E0","29/11/2020","14:00","Southampton","Man United",2,3,"A",2,0,"H","J Moss",10,15,5,6,12,12,5,9,1,0,0,0,"Afternoon",1,0,10,0,10,24,4,3.5,1.95,3.8,3.6,1.95,"A","Y",1.95
"E0","29/11/2020","16:30","Chelsea","Tottenham",0,0,"D",0,0,"D","P Tierney",13,5,3,1,20,9,3,3,4,2,0,0,"Afternoon",6,0,40,20,60,29,2.05,3.5,3.6,1.95,3.6,3.75,"H","N",1.95
"E0","29/11/2020","19:15","Arsenal","Wolves",1,2,"A",1,2,"A","M Oliver",13,11,2,5,13,13,8,4,3,4,0,0,"Evening",7,0,30,40,70,26,2.05,3.4,3.75,2.05,3.25,3.8,"H","N",2.05
"E0","30/11/2020","17:30","Leicester","Fulham",1,2,"A",0,2,"A","S Hooper",16,10,3,5,9,21,6,5,0,2,0,0,"Evening",2,0,0,20,20,30,1.5,4.33,6.5,1.55,4.2,6,"H","N",1.55
"E0","30/11/2020","20:00","West Ham","Aston Villa",2,1,"H",1,1,"D","P Bankes",6,16,2,6,20,7,3,7,1,1,0,0,"Evening",2,0,10,10,20,27,2.25,3.6,3,2.3,3.5,3,"H","Y",2.3
"E0","05/12/2020","12:30","Burnley","Everton",1,1,"D",1,1,"D","A Taylor",8,13,3,6,6,9,8,4,0,0,0,0,"Afternoon",0,0,0,0,0,15,4,3.5,1.9,3.6,3.6,2,"A","N",2
"E0","05/12/2020","15:00","Man City","Fulham",2,0,"H",2,0,"H","J Moss",16,6,6,1,7,6,9,3,0,0,0,0,"Afternoon",0,0,0,0,0,13,1.1,11,19,1.1,11,19,"H","Y",1.1
"E0","05/12/2020","17:30","West Ham","Man United",1,3,"A",1,0,"H","A Marriner",19,15,6,6,9,10,5,4,0,0,0,0,"Evening",0,0,0,0,0,19,3.6,3.6,2,3.3,3.5,2.15,"A","Y",2.15
"E0","05/12/2020","20:00","Chelsea","Leeds",3,1,"H",1,1,"D","K Friend",23,8,11,3,12,9,8,4,0,2,0,0,"Evening",2,0,0,20,20,21,1.5,4.5,6,1.44,5,6,"H","Y",1.44
"E0","06/12/2020","12:00","West Brom","Crystal Palace",1,5,"A",1,1,"D","P Tierney",9,18,4,6,10,16,4,6,2,2,1,0,"Afternoon",4,1,45,20,65,26,2.87,3.2,2.55,2.87,3.25,2.5,"A","Y",2.5
"E0","06/12/2020","14:15","Sheffield United","Leicester",1,2,"A",1,1,"D","S Attwell",4,13,1,4,13,6,6,5,1,3,0,0,"Afternoon",4,0,10,30,40,19,3.8,3.5,1.95,4,3.5,1.95,"A","Y",1.95
"E0","06/12/2020","16:30","Tottenham","Arsenal",2,0,"H",2,0,"H","M Atkinson",6,11,3,2,16,12,3,9,1,2,0,0,"Afternoon",3,0,10,20,30,28,1.95,3.6,3.8,2.15,3.5,3.4,"H","Y",2.15
"E0","06/12/2020","19:15","Liverpool","Wolves",4,0,"H",1,0,"H","C Pawson",11,9,6,3,8,14,4,6,1,1,0,0,"Evening",2,0,10,10,20,22,1.5,4.33,6.5,1.57,4.2,5.5,"H","Y",1.57
"E0","07/12/2020","20:00","Brighton","Southampton",1,2,"A",1,1,"D","D Coote",12,10,4,3,12,12,4,3,3,3,0,0,"Evening",6,0,30,30,60,24,2.45,3.4,2.9,2.4,3.4,2.9,"H","N",2.4
"E0","11/12/2020","20:00","Leeds","West Ham",1,2,"A",1,1,"D","M Oliver",13,19,7,8,12,10,5,6,1,2,0,0,"Evening",3,0,10,20,30,22,2.15,3.7,3.1,2.05,3.75,3.3,"H","N",2.05
"E0","12/12/2020","12:30","Wolves","Aston Villa",0,1,"A",0,0,"D","M Dean",16,13,7,2,23,15,5,8,2,5,0,0,"Afternoon",7,0,20,50,70,38,2.25,3.25,3.25,2.5,3.25,2.87,"H","N",2.5
"E0","12/12/2020","15:00","Newcastle","West Brom",2,1,"H",1,0,"H","D England",12,13,7,3,9,12,4,3,2,3,0,0,"Afternoon",5,0,20,30,50,21,2.45,3.2,3,2.4,3.25,3,"H","Y",2.4
